Visitor/Neutral;PTS;Home/Neutral;PTS
Houston Rockets;115;Milwaukee Bucks;101
Philadelphia 76ers;85;Oklahoma City Thunder;109
Utah Jazz;87;Phoenix Suns;80
Sacramento Kings;105;Toronto Raptors;96
Brooklyn Nets;115;Washington Wizards;113
Boston Celtics;89;Atlanta Hawks;81
Sacramento Kings;93;Brooklyn Nets;113
Houston Rockets;112;Cleveland Cavaliers;104
New Orleans Hornets;99;Dallas Mavericks;96
Utah Jazz;91;Denver Nuggets;110
Milwaukee Bucks;80;Indiana Pacers;95
Golden State Warriors;89;Los Angeles Clippers;115
Portland Trail Blazers;102;Minnesota Timberwolves;97
New York Knicks;114;Orlando Magic;106
Philadelphia 76ers;86;San Antonio Spurs;109
Charlotte Bobcats;108;Detroit Pistons;101
Denver Nuggets;112;Los Angeles Lakers;105
Washington Wizards;71;Miami Heat;99
Memphis Grizzlies;92;Phoenix Suns;81
Oklahoma City Thunder;104;Toronto Raptors;92
Cleveland Cavaliers;92;Chicago Bulls;118
San Antonio Spurs;88;New Orleans Hornets;95
Boston Celtics;102;New York Knicks;96
Orlando Magic;119;Portland Trail Blazers;125
Memphis Grizzlies;113;Sacramento Kings;81
Dallas Mavericks;94;Utah Jazz;100
Oklahoma City Thunder;99;Washington Wizards;101
Los Angeles Lakers;112;Houston Rockets;125
Miami Heat;77;Indiana Pacers;87
Phoenix Suns;99;Milwaukee Bucks;108
Atlanta Hawks;103;Minnesota Timberwolves;108
Brooklyn Nets;109;Philadelphia 76ers;89
Phoenix Suns;79;Boston Celtics;87
Utah Jazz;112;Charlotte Bobcats;102
Milwaukee Bucks;104;Chicago Bulls;96
Atlanta Hawks;83;Cleveland Cavaliers;99
Orlando Magic;105;Denver Nuggets;108
Memphis Grizzlies;94;Golden State Warriors;87
Dallas Mavericks;93;Los Angeles Clippers;99
Houston Rockets;79;New Orleans Hornets;88
Minnesota Timberwolves;84;Oklahoma City Thunder;106
Los Angeles Lakers;105;San Antonio Spurs;108
Philadelphia 76ers;72;Toronto Raptors;90
New York Knicks;76;Indiana Pacers;81
Miami Heat;90;Portland Trail Blazers;92
Dallas Mavericks;117;Sacramento Kings;112
Utah Jazz;95;Atlanta Hawks;103
Houston Rockets;91;Boston Celtics;103
Phoenix Suns;79;Brooklyn Nets;99
Cleveland Cavaliers;91;Denver Nuggets;98
Portland Trail Blazers;97;Golden State Warriors;103
Oklahoma City Thunder;116;Los Angeles Lakers;101
San Antonio Spurs;98;Memphis Grizzlies;101
Detroit Pistons;103;Milwaukee Bucks;87
Minnesota Timberwolves;92;New Orleans Hornets;104
Chicago Bulls;108;New York Knicks;101
Charlotte Bobcats;78;Toronto Raptors;99
Phoenix Suns;97;Chicago Bulls;81
Memphis Grizzlies;83;Dallas Mavericks;104
Utah Jazz;90;Detroit Pistons;87
Charlotte Bobcats;88;Indiana Pacers;96
Orlando Magic;104;Los Angeles Clippers;101
Houston Rockets;100;Philadelphia 76ers;107
Miami Heat;128;Sacramento Kings;99
Atlanta Hawks;83;Washington Wizards;93
Indiana Pacers;86;Brooklyn Nets;97
Golden State Warriors;105;Denver Nuggets;116
Cleveland Cavaliers;93;Los Angeles Lakers;113
New Orleans Hornets;87;New York Knicks;100
Oklahoma City Thunder;87;Portland Trail Blazers;83
Minnesota Timberwolves;88;San Antonio Spurs;106
Milwaukee Bucks;107;Toronto Raptors;96
